hand_class,percentile,bucket
AA,0.5%,5%
KK,0.9%,5%
QQ,1.4%,5%
JJ,1.8%,5%
AKs,2.1%,5%
TT,2.6%,5%
AQs,2.9%,5%
KQs,3.2%,5%
AJs,3.5%,5%
AKo,4.4%,5%
KJs,4.7%,5%
ATs,5.0%,5%
QJs,5.3%,10%
KTs,5.6%,10%
AQo,6.5%,10%
99,6.9%,10%
QTs,7.2%,10%
KQo,8.1%,10%
JTs,8.4%,10%
AJo,9.4%,10%
A9s,9.7%,10%
A8s,10.0%,10%
K9s,10.3%,15%
KJo,11.2%,15%
88,11.6%,15%
ATo,12.5%,15%
A7s,12.8%,15%
QJo,13.7%,15%
Q9s,14.0%,15%
A5s,14.3%,15%
T9s,14.6%,15%
J9s,14.9%,15%
A6s,15.2%,20%
A4s,15.5%,20%
KTo,16.4%,20%
QTo,17.3%,20%
A3s,17.6%,20%
JTo,18.6%,20%
K8s,18.9%,20%
K7s,19.2%,20%
A2s,19.5%,20%
77,19.9%,20%
Q8s,20.2%,30%
T8s,20.5%,30%
A9o,21.4%,30%
K5s,21.7%,30%
98s,22.0%,30%
J8s,22.3%,30%
K6s,22.6%,30%
K9o,23.5%,30%
K4s,23.8%,30%
Q7s,24.1%,30%
A8o,25.0%,30%
66,25.5%,30%
T9o,26.4%,30%
87s,26.7%,30%
T7s,27.0%,30%
Q9o,27.9%,30%
J9o,28.8%,30%
J7s,29.1%,30%
97s,29.4%,30%
A5o,30.3%,40%
A7o,31.2%,40%
Q6s,31.5%,40%
Q5s,31.8%,40%
K3s,32.1%,40%
K2s,32.4%,40%
Q4s,32.7%,40%
76s,33.0%,40%
A4o,33.9%,40%
A6o,34.8%,40%
J6s,35.1%,40%
86s,35.4%,40%
Q3s,35.7%,40%
96s,36.0%,40%
K8o,37.0%,40%
55,37.4%,40%
A3o,38.3%,40%
T6s,38.6%,40%
Q2s,38.9%,40%
J5s,39.2%,40%
T8o,40.1%,45%
Q8o,41.0%,45%
65s,41.3%,45%
K7o,42.2%,45%
J8o,43.1%,45%
75s,43.4%,45%
A2o,44.3%,45%
44,44.8%,45%
98o,45.7%,trash
J4s,46.0%,trash
K6o,46.9%,trash
85s,47.2%,trash
T5s,47.5%,trash
54s,47.8%,trash
J3s,48.1%,trash
64s,48.4%,trash
95s,48.7%,trash
J2s,49.0%,trash
T4s,49.3%,trash
K5o,50.2%,trash
Q7o,51.1%,trash
33,51.6%,trash
87o,52.5%,trash
T3s,52.8%,trash
T7o,53.7%,trash
K4o,54.6%,trash
74s,54.9%,trash
97o,55.8%,trash
53s,56.1%,trash
T2s,56.4%,trash
J7o,57.3%,trash
Q6o,58.2%,trash
K3o,59.1%,trash
84s,59.4%,trash
94s,59.7%,trash
63s,60.0%,trash
22,60.5%,trash
93s,60.8%,trash
76o,61.7%,trash
Q5o,62.6%,trash
K2o,63.5%,trash
43s,63.8%,trash
T6o,64.7%,trash
92s,65.0%,trash
73s,65.3%,trash
52s,65.6%,trash
J6o,66.5%,trash
86o,67.4%,trash
96o,68.3%,trash
Q4o,69.2%,trash
83s,69.5%,trash
65o,70.4%,trash
62s,70.7%,trash
42s,71.0%,trash
Q3o,71.9%,trash
75o,72.9%,trash
J5o,73.8%,trash
82s,74.1%,trash
72s,74.4%,trash
32s,74.7%,trash
54o,75.6%,trash
J4o,76.5%,trash
Q2o,77.4%,trash
85o,78.3%,trash
T5o,79.2%,trash
95o,80.1%,trash
J3o,81.0%,trash
64o,81.9%,trash
T4o,82.8%,trash
J2o,83.7%,trash
53o,84.6%,trash
74o,85.5%,trash
T3o,86.4%,trash
84o,87.3%,trash
T2o,88.2%,trash
43o,89.1%,trash
94o,90.0%,trash
63o,91.0%,trash
93o,91.9%,trash
52o,92.8%,trash
73o,93.7%,trash
92o,94.6%,trash
83o,95.5%,trash
42o,96.4%,trash
82o,97.3%,trash
62o,98.2%,trash
32o,99.1%,trash
72o,100.0%,trash
